plannedTime,averageDelay
00,3.7756819953234606
01,1.6501263496439238
02,1.747591522157996
03,1.16893039049236
04,1.0398488491927174
05,1.4501571702135347
06,1.8231522025219535
07,4.014814022515175
08,6.286999470806139
09,5.893001800180018
10,4.6644678138942
11,4.03933863922609
12,3.6657648678152737
13,3.7102524678565856
14,4.358690407811602
15,7.545072799340685
16,11.244530719207997
17,10.606477034365136
18,6.654495072515587
19,3.9429128933806976
20,2.5398525927875757
21,2.5602117197532026
22,1.9935643564356436
23,1.6870393672478878
