shortName,name,averageDelay,passagesCount,latitude,longitude
1090,Gołuchowice,2.310810810810811,74,49.94627805555555,19.784719166666665
1159,Czarnochowice I (nż),2.9767441860465116,43,50.0122425,20.07396
2904,Jeziorzany Pętla,1.7387387387387387,222,49.9871,19.7784
296,Rączna Kapliczka (nż),2.9545454545454546,22,50.015395,19.768885
3210,Boleń Pętla,2.3333333333333335,9,50.1288,19.9831
467,Lubocza PKP (nż),6.166666666666667,6,50.08859972222222,20.073514166666666
675,Ks.Łaczka (nż),2.9609690444145356,743,50.01012027777778,20.02880861111111
125,Rondo Mogilskie,3.9541365320162285,5669,50.06574055555556,19.959046666666666
1372,Winnicka (nż),4.157894736842105,38,50.019955,19.871663055555555
3281,Głęboka Staw,2.0,4,50.13319194444444,20.14928638888889
944,Pod Fortem,3.0476190476190474,126,49.99872416666667,19.896941666666667
1265,Zastów Działki (nż),1.6,5,50.121559166666664,20.056503888888887
1280,Wola Batorska Ruskie (nż),1.4,5,50.05315,20.25814972222222
2530,Przybyszewskiego,5.439911308203991,4510,50.0707,19.8989
2700,Będkowice Pętla,1.0,3,50.16107,19.74877
2725,Bieżanów Granica Miasta,2.9285714285714284,42,50.01032222222222,20.064702222222223
2898,Piekary Borki (nż),1.7741935483870968,31,50.0285,19.7867
666,Sucharskiego (nż),1.1291666666666667,720,50.01808944444444,20.04341388888889
870,Prądnik Biały Zachód,4.387735849056604,1060,50.094069166666664,19.9243575
124,Cmentarz Rakowicki,3.391914893617021,2350,50.07392361111111,19.958618055555554
2895,Kryspinów Stopień Wodny (nż),2.066666666666667,30,50.03610333333334,19.81025
2930,Skawina Kopernika (nż),4.052631578947368,19,49.9661,19.8501
3121,Bazarowa,12.727272727272727,44,50.03416611111111,20.04226166666667
3249,Zabierzów Rynek,-3.0,3,50.116503055555555,19.79988611111111
3312,Konary Królowej Polski (nż),3.0,18,49.9334,19.9155
447,Zesławice,0.4827586206896552,29,50.10627,20.04387
591,Tyniec Kamieniołom,0.6871165644171779,163,50.008356944444444,19.814593055555555
7,Zakliki (nż),4.793181818181818,880,50.08305388888889,19.849936111111113
3167,Tomaszowice Kolberga (nż),0.6666666666666666,3,50.13474,19.8369
475,Dojazdów PKS,1.9090909090909092,11,50.1271475,20.1023675
718,Witosa,4.936183395291202,1614,50.0126075,19.956326944444445
2477,Radziszów Stare Sanatorium (nż),3.145038167938931,262,49.909552777777776,19.827370833333333
2495,Zabawa (nż),5.5,10,49.994439166666666,20.090386666666667
2644,Kościelniki,1.6,10,50.09025833333333,20.175305555555557
2789,Zakole,2.1739130434782608,23,50.10888972222222,20.053136944444443
2808,Ludwinów,5.4805755395683455,5560,50.04323138888889,19.934954444444443
3179,Zakarnie (nż),2.0,12,50.05292,20.0634
3299,Rybna Kościół,2.9261363636363638,176,50.0493875,19.646951944444446
577,Słomiana,3.921709894332373,2082,50.04078,19.924296666666667
581,Zielińskiego (nż),2.315904139433551,918,50.04703861111111,19.912455
740,Myślenicka (nż),5.788129744651484,1449,50.00535027777778,19.943994166666666
747,Borek Fałęcki,0.5866020273248127,2269,50.01159361111111,19.927098333333333
1104,Skawina Elektrownia (nż),5.086956521739131,23,49.9729,19.8022
2531,Cmentarz Rakowicki Zachód (nż),3.2232868152468237,4801,50.076025,19.947364166666667
272,Bielańskie Skały (nż),2.343283582089552,1206,50.044109444444445,19.85115138888889
2964,Michałowice Górna (nż),7.0,1,50.168461388888886,19.9511525
2980,Węgrzce Bosutów (nż),2.3823529411764706,34,50.10726472222222,19.985152222222222
442,Wzgórza Krzesławickie,2.40032154340836,1244,50.094946944444445,20.0648175
462,Agencja Kraków Wschód (nż),2.6666666666666665,3,50.08768,20.07948
470,Lubocza Szkoła,4.523809523809524,21,50.094926666666666,20.094118055555555
711,Stojałowskiego,6.056834194457492,2129,50.005158888888886,19.955258055555557
743,Bujaka,5.737742303306727,4385,50.01002527777778,19.948654722222223
975,Czajowice (nż),1.1428571428571428,7,50.18967166666667,19.797734722222224
1008,Skawina Sąd,3.778947368421053,95,49.975838055555556,19.816859444444443
1305,Zakrzów (nż),4.090909090909091,11,50.00934027777778,20.144667777777777
15,Pasternik (nż),3.0427350427350426,117,50.09811,19.868535
232,Morawica Krzyżówka,2.076923076923077,13,50.08061333333333,19.749726111111112
234,Morawica Cmentarz (nż),1.5454545454545454,11,50.080280555555554,19.755619444444445
2605,Świdzińskiego (nż),2.478494623655914,372,50.01049916666667,20.032434444444444
2628,Garlica Duchowna Rozjazd,1.0,1,50.1502,19.9218
2720,Trzecia Góra (nż),2.4285714285714284,21,50.11006416666667,19.96583638888889
2729,Michałowice Ośrodek Zdrowia,6.25,4,50.16178333333333,19.97952777777778
282,Kaszów II (nż),1.45,20,50.03891472222222,19.720428333333334
2953,Mogilany Kopce (nż),1.5357142857142858,140,49.944206666666666,19.869425
3280,Czulice Przymiarki (nż),0.5,2,50.1225,20.1873
383,Rondo Piastowskie,5.597222222222222,144,50.09431055555556,20.010994444444446
448,Cmentarz Grębałów,4.458333333333333,24,50.09108388888889,20.070206666666667
54,Azory,-0.0055617352614015575,1798,50.086486944444445,19.909300555555557
1158,Kokotów I (nż),3.159090909090909,44,50.012215,20.08385611111111
1207,Wołowice Niwa (nż),2.6153846153846154,13,49.988506666666666,19.702443333333335
2545,Sołtysowska Zakłady,2.2666666666666666,15,50.064120833333334,20.014499166666667
2812,Os.Podwawelskie,-0.7011191573403555,1519,50.0463,19.9323
2988,Raciborowice Granica (nż),1.25,16,50.11855111111111,20.040567777777778
3145,Grabówki Pętla,2.8125,16,49.9738,20.0005
483,Wadów Osiedle (nż),4.0,16,50.10543,20.1220875
132,Radzikowskiego,2.3333333333333335,3,50.08331722222222,19.909111111111113
154,Raczkiewicza (nż),3.0789473684210527,38,50.06881027777778,19.8374125
2931,Kopanka Pętla,1.5820895522388059,67,49.9772,19.7631
3140,UR Aleja 29 Listopada,4.211892797319933,5970,50.082250277777774,19.951665
317,Instytut Reumatologii,2.1122448979591835,98,50.05775083333333,19.91403
714,Tuchowska,3.7191435768261965,794,50.01273305555556,19.967710555555556
987,Tomaszowice Wedonka (nż),0.3333333333333333,3,50.1335,19.8558
1290,Niepołomice Jazy II (nż),1.25,4,50.046775833333335,20.246182222222224
200,Zabierzów Sklep,9.25,8,50.111064166666665,19.812749444444446
