delay,passagesCount
-139.0,1
-137.0,3
-135.0,1
-108.0,1
-103.0,1
-96.0,1
-93.0,1
-92.0,2
-90.0,1
-88.0,2
-87.0,1
-85.0,1
-82.0,1
-81.0,3
-80.0,1
-79.0,1
-78.0,1
-77.0,1
-76.0,4
-75.0,1
-74.0,1
-73.0,2
-72.0,2
-71.0,4
-70.0,2
-69.0,2
-68.0,5
-67.0,1
-66.0,6
-65.0,1
-64.0,1
-63.0,2
-61.0,1
-60.0,1
-59.0,1
-58.0,1
-54.0,1
-53.0,2
-52.0,4
-51.0,4
-49.0,2
-48.0,8
-47.0,9
-46.0,3
-45.0,2
-44.0,8
-43.0,19
-42.0,18
-41.0,12
-40.0,7
-39.0,10
-38.0,7
-37.0,13
-36.0,12
-35.0,10
-34.0,20
-33.0,27
-32.0,29
-31.0,20
-30.0,30
-29.0,38
-28.0,34
-27.0,43
-26.0,47
-25.0,47
-24.0,50
-23.0,74
-22.0,75
-21.0,80
-20.0,142
-19.0,148
-18.0,137
-17.0,151
-16.0,198
-15.0,223
-14.0,209
-13.0,200
-12.0,298
-11.0,380
-10.0,303
-9.0,273
-8.0,261
-7.0,345
-6.0,325
-5.0,446
-4.0,517
-3.0,734
-2.0,1632
-1.0,9523
0.0,94294
1.0,169813
2.0,128227
3.0,84563
4.0,56415
5.0,39632
6.0,28901
7.0,21746
8.0,17588
9.0,13968
10.0,11396
11.0,9590
12.0,8201
13.0,6804
14.0,5730
15.0,4788
16.0,4133
17.0,3731
18.0,3211
19.0,2960
20.0,2576
21.0,2390
22.0,2124
23.0,1859
24.0,1725
25.0,1617
26.0,1512
27.0,1260
28.0,1166
29.0,1052
30.0,1124
31.0,1089
32.0,1038
33.0,956
34.0,872
35.0,710
36.0,735
37.0,764
38.0,740
39.0,621
40.0,681
41.0,711
42.0,648
43.0,673
44.0,612
45.0,592
46.0,571
47.0,533
48.0,560
49.0,549
50.0,434
51.0,404
52.0,354
53.0,334
54.0,365
55.0,344
56.0,333
57.0,312
58.0,270
59.0,241
60.0,214
61.0,223
62.0,202
63.0,187
64.0,192
65.0,193
66.0,195
67.0,162
68.0,124
69.0,146
70.0,104
71.0,100
72.0,100
73.0,89
74.0,111
75.0,101
76.0,90
77.0,61
78.0,92
79.0,69
80.0,66
81.0,59
82.0,39
83.0,42
84.0,50
85.0,35
86.0,27
87.0,36
88.0,22
89.0,10
90.0,21
91.0,25
92.0,40
93.0,30
94.0,23
95.0,21
96.0,17
97.0,21
98.0,15
99.0,18
100.0,26
101.0,11
102.0,9
103.0,10
104.0,10
105.0,15
106.0,20
107.0,11
108.0,15
109.0,23
110.0,13
111.0,13
112.0,12
113.0,14
114.0,14
115.0,4
116.0,5
117.0,3
118.0,7
119.0,2
120.0,2
121.0,4
122.0,4
123.0,4
124.0,4
125.0,3
126.0,1
129.0,1
130.0,1
132.0,1
133.0,1
135.0,1
136.0,1
137.0,1
139.0,1
142.0,1
143.0,1
410.0,1
554.0,1
720.0,1
766.0,1
787.0,1
1382.0,1
1438.0,2
1439.0,3
