delay,passagesCount
-108.0,1
-103.0,1
-96.0,1
-93.0,1
-92.0,2
-90.0,1
-88.0,2
-87.0,1
-85.0,1
-82.0,1
-81.0,3
-80.0,1
-79.0,1
-78.0,1
-77.0,1
-76.0,4
-75.0,1
-74.0,1
-73.0,2
-72.0,2
-71.0,4
-70.0,2
-69.0,2
-68.0,5
-67.0,1
-66.0,6
-65.0,1
-64.0,1
-63.0,2
-61.0,1
-60.0,1
-59.0,1
-58.0,1
-54.0,1
-53.0,1
-52.0,4
-51.0,5
-49.0,3
-48.0,7
-47.0,9
-46.0,4
-45.0,3
-44.0,7
-43.0,18
-42.0,18
-41.0,12
-40.0,6
-39.0,8
-38.0,7
-37.0,10
-36.0,10
-35.0,9
-34.0,17
-33.0,22
-32.0,21
-31.0,13
-30.0,18
-29.0,25
-28.0,19
-27.0,28
-26.0,25
-25.0,27
-24.0,36
-23.0,43
-22.0,41
-21.0,51
-20.0,95
-19.0,88
-18.0,86
-17.0,107
-16.0,143
-15.0,154
-14.0,154
-13.0,136
-12.0,198
-11.0,265
-10.0,222
-9.0,206
-8.0,192
-7.0,240
-6.0,238
-5.0,304
-4.0,373
-3.0,481
-2.0,997
-1.0,5950
0.0,60182
1.0,110150
2.0,83254
3.0,55356
4.0,37468
5.0,26334
6.0,19224
7.0,14870
8.0,11890
9.0,9441
10.0,7706
11.0,6432
12.0,5436
13.0,4528
14.0,3942
15.0,3400
16.0,2929
17.0,2554
18.0,2178
19.0,2035
20.0,1779
21.0,1640
22.0,1494
23.0,1359
24.0,1298
25.0,1228
26.0,1149
27.0,938
28.0,896
29.0,825
30.0,888
31.0,835
32.0,766
33.0,718
34.0,647
35.0,530
36.0,537
37.0,558
38.0,583
39.0,488
40.0,515
41.0,556
42.0,479
43.0,549
44.0,470
45.0,439
46.0,446
47.0,395
48.0,457
49.0,437
50.0,326
51.0,315
52.0,271
53.0,226
54.0,268
55.0,262
56.0,239
57.0,229
58.0,213
59.0,181
60.0,145
61.0,148
62.0,131
63.0,117
64.0,126
65.0,119
66.0,151
67.0,116
68.0,94
69.0,102
70.0,66
71.0,69
72.0,62
73.0,66
74.0,72
75.0,64
76.0,72
77.0,49
78.0,64
79.0,45
80.0,48
81.0,48
82.0,26
83.0,28
84.0,46
85.0,21
86.0,20
87.0,28
88.0,20
89.0,10
90.0,16
91.0,25
92.0,37
93.0,28
94.0,21
95.0,17
96.0,16
97.0,14
98.0,14
99.0,16
100.0,22
101.0,9
102.0,9
103.0,7
104.0,10
105.0,13
106.0,15
107.0,7
108.0,8
109.0,5
110.0,1
111.0,2
112.0,4
113.0,3
114.0,3
116.0,1
118.0,1
120.0,1
121.0,3
122.0,2
123.0,3
124.0,2
126.0,1
129.0,1
130.0,1
132.0,1
133.0,1
135.0,1
136.0,1
137.0,1
139.0,1
142.0,1
143.0,1
410.0,1
554.0,1
720.0,1
766.0,1
787.0,1
1382.0,1
1438.0,2
1439.0,2
